0.0|只要兩件事互相關聯便成立^比喻須有相似點，關聯替代是借代|一定要出現像或如字才成立^暗喻借喻不必用這些喻詞|喻體必須與本體屬於同一事物^本喻體是用相似點聯繫，不是同一對象
0.1|只要把東西寫得大就是比擬^寫大可能是誇張，並不構成人物化|只限把物寫成人，不包括擬物^書中兼列擬人和擬物|必須拿一物代稱另一相關物^這是借代的替代關係
0.2|以兩物外形相似為必要條件^借代依關聯替代而非相似|把無生命的物寫得有思想^這是擬人，並非代稱|直接說出本名後才可使用^借代本來可以不用本名
0.3|只要精確描寫外形便構成象徵^還需具體形象寄託抽象意義|把字面意思全部反過來理解^這是反語判讀方式|只能表示實物，不能寄託思想^象徵正可間接表現抽象情意
0.4|同時寫顏色和聲音必定是通感^多感官並列不等於感官轉移|只可用視覺描寫視覺^這沒有跨感官轉移|使用通感就不能同時用比喻^兩種手法可以同時成立
1.0|必須一方為主體一方為陪襯^這是襯托須分主次的要求|只比較兩物相同之處^對比重點是相反或相對的差異|任何兩件事前後出現便成立^須有共同比較角度及對立關係
1.1|主體與陪襯物必須同樣重要^襯托須分清主體與陪襯|襯托只能採相反性質，不能正襯^相近相關性質也可正襯|不用說明誰烘托誰^主次關係正是判別重點
1.2|所有修辭數字都應作統計資料^誇張故意超越實際程度|只可往大往多描寫^另有縮小和超前誇張|只有完全符合實況才算誇張^符合實況不構成言過其實
1.3|字面和真意必須完全一致^反語恰以兩者相反為條件|只有褒詞貶用，沒有貶詞褒用^反語也可正意反說|任何表示不滿的句子都是反語^直接表達不滿沒有字面真意反差
1.4|只要字音相近便一定雙關^還須特定語境同時成立兩層意思|只可依同音，不能依多義^書中兼有諧音及語義雙關|答題只寫其中一層意思就完整^雙關分析須說清兩層意思
2.0|所有設問都必須立即自答^設問也可留待下文或不給確定答案|凡問句一定是設問^反問與真正詢問的功能不同|只是隱藏確定立場的問句^這更接近反問，不是設問的必要條件
2.1|問者必須不知道答案^反問用問句表達已有的確定意思|否定形式一定表達否定立場^須依語境還原，否定形式可表肯定|反問的主要作用是索取新資料^反問主要強化確定立場和語氣
2.2|必須逐字照錄並註明作者^也可融入文字或不註明出處|凡引用都必定有官方權威^作用依材料而定，不能一概而論|只能引用完整詩篇^名言成語俗語等也可引用
2.3|須把古代故事完整重新敘述^用典常把背景壓縮融入文句|有古人名字便必定用典^需典故背景參與表達|只為提供人物出生日期^用典能寄託情感處境及志向
2.4|只能向正在面前的人說話^也可向不在面前的人物傾訴|第三人稱介紹他人就是呼告^呼告須直接呼喚並向其說話|只要喊聲很大就一定成立^關鍵是直接呼喚對象，不是音量
3.0|必須三句以上才可構成^對偶通常是兩組對稱排列|每個字的讀音都必須相同^重點是字數結構相應，不是同音|兩句意思不能相反^對偶的意思可相對或相反
3.1|只有兩個相近句式便足夠^排比要求三項或以上|必須逐項增加程度才成立^程度次序是層遞要求|句子字數不同就完全不可能成立^排比允許結構相似，不必完全等字
3.2|任何三項隨意並列都算^還須有可辨認的遞升遞降次序|只能從小到大不能由大到小^層遞也可遞降|只要重複同一詞便足夠^單純重複未必有程度推進
3.3|重複詞句之間不能隔其他內容^間隔反復中間可以有其他語句|兩字聲母相同就是反復^聲母相同是雙聲判別|凡重複必定是語病不能有作用^有意反復可強化語勢和情感
3.4|上下兩句任何地方同字就算^須上句末與下句首接續|把上句倒轉順序重寫^頂真不是單純倒置語序|只須兩句末尾押同一韻^押韻與末首相接不同
4.0|上下句應逐句割裂直譯^互文須成分互相補足|只把上句最後一字放到下句開頭^那是頂真形式|上下句任何共同字都屬互文^需語義互補，不能僅看同字
4.1|兩個不同字只要聲母相同就算^這是雙聲，不是字詞重疊|只在整段隔頁再出現才成立^疊字著眼直接重疊的語音形態|疊字只能計數而不表情態^也能突出狀態程度及聲情
4.2|兩字字形相近便是雙聲^應比較讀音的聲母|兩字韻母相同就是雙聲^那是疊韻的判別條件|必須同一個字重複兩次^雙聲是聲母相同的雙音詞，不要求同字
4.3|兩字聲母相同就是疊韻^此條件屬雙聲|兩字筆畫數相同便成立^疊韻按讀音，不按筆畫|整句最後一字押韻便是疊韻詞^本項指雙音詞內兩字韻母相同
5.0|比喻依關聯替代，借代依相似^把兩種成立關係倒置|兩者都只看是否用了如字^借代不依喻詞，借喻也可省喻詞|凡不用本名必定是借代^借喻也可能省本體，仍要看相似或關聯
5.1|對比有主次而襯托絕無主次^襯托特別要求分主體陪襯|只要性質相反必定只能對比^反襯也可用相反性質突出主體|分析兩者都不用指出比較對象^兩者均要交代對象和關係
